id,session_id,movie_title,proposed_by,poster,genre,runtime,year,director,plot,imdb_rating,imdb_id,watched_at,created_at,updated_at
0a8e6758-5d20-4494-bd87-7bcf257f6b51,1f960a2b-f508-4ca9-9fd3-8cca2aea6137,Test,aooo,https://m.media-amazon.com/images/M/MV5BOWRmYjAwZjktZGVjMi00OWJjLTllMDktNjYyOGQzNGRjMDU2XkEyXkFqcGc@._V1_SX300.jpg,"Drama, Sport",145 min,2025,S. Sashikanth,Three people's worlds collide during a historic international cricket test match in Chennai which ultimately forces them to make life-changing difficult decisions.,5.1,tt27477888,2025-09-03 23:16:31.847+00,2025-09-03 23:16:30.680901+00,2025-09-03 23:16:30.680901+00
0f92d7f9-708f-4265-b7a0-321dcc57bc4e,1f960a2b-f508-4ca9-9fd3-8cca2aea6137,Tenet,coso,https://m.media-amazon.com/images/M/MV5BMTU0ZjZlYTUtYzIwMC00ZmQzLWEwZTAtZWFhMWIwYjMxY2I3XkEyXkFqcGc@._V1_SX300.jpg,"Action, Sci-Fi, Thriller",150 min,2020,Christopher Nolan,"Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.",7.3,tt6723592,2025-09-06 15:43:37.09+00,2025-09-06 15:43:36.678576+00,2025-09-06 15:43:36.678576+00
10630e0d-d520-481f-b2fe-8307e3b959e9,1f960a2b-f508-4ca9-9fd3-8cca2aea6137,Star Wars: Episode I - The Phantom Menace,ciccio,https://m.media-amazon.com/images/M/MV5BODVhNGIxOGItYWNlMi00YTA0LWI3NTctZmQxZGUwZDEyZWI4XkEyXkFqcGc@._V1_SX300.jpg,"Action, Adventure, Fantasy",136 min,1999,George Lucas,"Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long-dormant Sith resurface to claim their former glory.",6.5,tt0120915,2025-09-03 23:17:33.237+00,2025-09-03 23:17:32.082176+00,2025-09-03 23:17:32.082176+00
11502bf3-40e3-468b-b984-b553b20a82c1,1f960a2b-f508-4ca9-9fd3-8cca2aea6137,Cars,Prova 4 5 0,https://m.media-amazon.com/images/M/MV5BMTg5NzY0MzA2MV5BMl5BanBnXkFtZTYwNDc3NTc2._V1_SX300.jpg,"Animation, Adventure, Comedy",116 min,2006,"John Lasseter, Joe Ranft","On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life.",7.3,tt0317219,2025-08-29 23:29:34.869555+00,2025-08-29 23:29:34.869555+00,2025-08-29 23:29:34.869555+00
1ac764af-fe1c-459d-8a4a-e05ee141e78b,1f960a2b-f508-4ca9-9fd3-8cca2aea6137,Ciao,aooo,,,,,,,,,2025-09-03 23:12:43.027+00,2025-09-03 23:12:41.820686+00,2025-09-03 23:12:41.820686+00
1b62031b-1418-447c-a679-ea3a57337936,980201b7-c040-4c82-b51e-af1a1f516f4e,The Creator,Samu,https://m.media-amazon.com/images/M/MV5BMDkxMTUxOTQtYzM4Yi00YzA2LTgzOTYtNDg2NTliODE0ZTRjXkEyXkFqcGc@._V1_SX300.jpg,"Action, Adventure, Drama",133 min,2023,Gareth Edwards,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the robots' secret weapon to end the conflict, an AI in the form of a child.",6.7,tt11858890,2025-08-17 00:00:00+00,2025-08-31 17:17:04.079363+00,2025-08-31 17:40:52.821524+00
1c10be03-ac92-434f-b43b-7c987b06575f,980201b7-c040-4c82-b51e-af1a1f516f4e,The Royal Tenenbaums,Denno,https://m.media-amazon.com/images/M/MV5BZTc1MzFlMjEtMzkyNC00NDgyLThjMjMtMzQzZGI5YjUyNzU5XkEyXkFqcGc@._V1_SX300.jpg,"Comedy, Drama",110 min,2001,Wes Anderson,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,7.6,tt0265666,2025-08-14 00:00:00+00,2025-08-31 17:17:54.347035+00,2025-08-31 17:17:54.347035+00
27dab5be-09a9-4948-95ea-b486740ade1c,1f960a2b-f508-4ca9-9fd3-8cca2aea6137,Film 0,Prova 4 5 0,,,,,,,,,2025-08-26 16:54:33.149744+00,2025-08-26 16:54:33.149744+00,2025-08-26 16:54:33.149744+00
27dc54c2-1b46-4fcd-b234-ab2e3a24a51e,980201b7-c040-4c82-b51e-af1a1f516f4e,La haine,Marco,https://m.media-amazon.com/images/M/MV5BMThlMDA3NDYtZGM2Zi00NmJhLThlYWItZjViZTkzZWU1ZWRiXkEyXkFqcGc@._V1_SX300.jpg,"Crime, Drama",98 min,1995,Mathieu Kassovitz,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,8.1,tt0113247,2025-08-31 00:00:00+00,2025-08-31 21:24:31.834148+00,2025-08-31 21:24:31.834148+00
38181315-8a50-4db0-a01c-1cdb1076b1a1,1f960a2b-f508-4ca9-9fd3-8cca2aea6137,Ciao,eeee,https://m.media-amazon.com/images/M/MV5BMjE5MzM1MTU1N15BMl5BanBnXkFtZTcwMTg0MjAwMg@@._V1_SX300.jpg,"Drama, Romance",87 min,2008,Yen Tan,"Jeff is taking care of everything Mark left behind when he died in an accident. Mark was about to have a visitor, Andrea, an Italian guy he met online. Jeff and Andrea have the chance to share memories of the Mark they knew while ...",6.6,tt0870089,2025-09-04 00:32:34.505+00,2025-09-04 00:32:33.39298+00,2025-09-04 00:32:33.39298+00
